StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q4.1,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q7.1,Q7.2,Q7.3_2,Q7.3_3,Q7.3_4,Q7.3_5,Q8.1,Q8.2_1,Q8.2_2,Q8.3_1,Q8.3_2,Q8.4_1,Q8.4_2,Q8.5_1,Q8.5_2,Q8.6_1,Q8.6_2,Q8.7_1,Q8.7_2,Q8.8_1,Q8.8_2,Q8.9_1,Q8.9_2,Q8.10_1,Q8.10_2,Q8.11,Q8.12,Q8.13,Q8.14,Q8.15,Q8.15_6_TEXT,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q9.1_5,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q10.1,Q10.2,Q10.3,Q10.4,Q10.5,Q10.6,Q10.7,Q10.8,Q10.8_4_TEXT,Q10.9,Q10.10,Q10.11,Q10.11_10_TEXT,Q10.12,Q76_4,Q76_5,Q76_6,Q76_7,Q76_8,Q76_9,Q76_10,aid
10/20/2023 23:59,10/21/2023 0:00,IP Address,100,28,TRUE,10/21/2023 0:00,R_2YlmEv2rgSztw3m,,,,,anonymous,EN,CONSENT,10005 Lower Manhattan (Manhattan),Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $510 in 12 months,,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65334c9b-e787-1c2d-29a6-c2342eb1890a
10/20/2023 23:22,10/21/2023 0:10,IP Address,100,2904,TRUE,10/21/2023 0:10,R_1Qi1scmeR3NJ6QN,,,,,anonymous,EN,CONSENT,10453 Crotona -Tremont (Bronx),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",Receiving $500 in 12 months (1 year),A 75% chance of $67 (25% chance of $0),300,100,500,100,My work or school was entirely remote from March through December 2020,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,...were never something I would have considered doing in 2020.,Yes,I was able to remain completely isolated for the recommended time,,,,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",Things will be much better,I always had access through my provider,"All my bills were paid off each month and I have enough to save, invest, or spend freely",I can pay off my bills but am not able to save,My financial situation became somewhat better,I pay off much of the balance,2002,Woman,,Secondary school (high school),Full-time student,Hispanic,,10001 Chelsea - Clinton (Manhattan),,,,,,,,653343e3-652d-f3b8-7be1-359b2bff4202
10/21/2023 0:12,10/21/2023 0:18,IP Address,100,341,TRUE,10/21/2023 0:18,R_3Nx19PODelttRA8,,,,,anonymous,EN,CONSENT,11420 Southwest Queens (Queens),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,PASS,Receiving $5000 right now,Receiving $6000 in 12 months,,,,"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",Receiving $500 in 12 months (1 year),Guaranteed $50,300,400,200,100,My work or school went remote in March 2020 but gradually added in-person by December 2020,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,,,,,...were available near me but I did not attend.,No,,I could have isolated for the entire recommended time,,,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Multiple times each week,The same as before the pandemic,Multiple times each week,Multiple times each week,The same as before the pandemic,Things will be somewhat worse,I always had access through my provider,I had to take on some debt to pay my bills,I am unable to pay all of my bills,My financial situation became somewhat worse,My debts increase beyond what I earn in a given month,1999,Woman,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Asian,,10306 South Beach - Tottenville (Staten Island),,,,,,,,65334f9e-034e-7eac-638e-287ce8dec3bb
10/21/2023 0:15,10/21/2023 0:24,IP Address,100,567,TRUE,10/21/2023 0:24,R_2P5Xfc4ilIJHv7I,,,,,anonymous,EN,CONSENT,10453 Crotona -Tremont (Bronx),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,PASS,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",Receiving $500 in 12 months (1 year),A 75% chance of $67 (25% chance of $0),0,500,500,0,I was not working or studying  from March through December 2020,Strongly agree,Strongly agree,Do not know,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,,,,,...were never something I would have considered doing in 2020.,No,,I could have isolated for the entire recommended time,,,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Never,Never,Never,Never,Never,Things will be somewhat worse,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I never purchase anything on credit or take on debt,1981,Woman,,Secondary school (high school),Not in paid employment (unable to work due to health/personal reasons),Black or African-American,,,,,,,,,,6533504f-990a-a6fd-3730-2d2b3827c487
10/21/2023 0:19,10/21/2023 0:26,IP Address,100,425,TRUE,10/21/2023 0:26,R_TjEB5o6qTl5iBW1,,,,,anonymous,EN,CONSENT,10002 Union Square - Lower East Side (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653350ee-0bb1-1781-b1bf-57e2a68ed1da
10/21/2023 0:33,10/21/2023 0:41,IP Address,100,481,TRUE,10/21/2023 0:41,R_21p96ephqV1igj6,,,,,anonymous,EN,CONSENT,10002 Union Square - Lower East Side (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",Receiving $500 in 12 months (1 year),Guaranteed $50,500,0,300,200,I was not working or studying  from March through December 2020,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,...were never something I would have considered doing in 2020.,No,,I could have isolated for the entire recommended time,,,I always wore it when I left home,I always wore it when I left home,I never left home in this period,I never left home in this period,I never left home in this period,Never,Never,Never,Never,Never,Things will be much better,I only had internet access on my phone,"All my bills were paid off each month and I have enough to save, invest, or spend freely",I can pay off my bills and save a small amount,My financial situation became much worse,I never purchase anything on credit or take on debt,1988,Man,,Secondary school (high school),Not in paid employment (unable to work due to health/personal reasons),Hispanic,,,,,,,,,,65335464-c5a4-b90e-bd12-c972dab5c7c7
10/21/2023 0:49,10/21/2023 0:53,IP Address,100,243,TRUE,10/21/2023 0:53,R_1P6rETFjXmgn0fV,,,,,anonymous,EN,CONSENT,10002 Union Square - Lower East Side (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653357e7-b2fc-c408-a3f0-4f6f6dfdf4d1
10/21/2023 0:52,10/21/2023 0:53,IP Address,100,64,TRUE,10/21/2023 0:53,R_2fwfbOtskHTwau6,,,,,anonymous,EN,CONSENT,10002 Union Square - Lower East Side (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653358eb-248c-d336-5f98-f83c16f883de
10/21/2023 0:49,10/21/2023 1:07,IP Address,100,1125,TRUE,10/21/2023 1:07,R_3NOiv4QgFU40LmQ,,,,,anonymous,EN,CONSENT,10473 Pelham - Throgs Neck (Bronx),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",Receiving $500 in 12 months (1 year),Guaranteed $50,200,400,200,200,My work or school went remote in March 2020 but gradually added in-person by December 2020,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,,,,...were something I considered but none were available near me.,No,,I could have stayed at home but would have had some contact with those I live with,I lived with other people in a home where it was not possible to isolate,,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,"When most people were masking,When places were crowded","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",Things will be somewhat better,I always had access through my provider,I had to take on a lot of debt to pay my bills,I have to take on some debt to pay my bills,My financial situation became somewhat better,I pay off much of the balance,1987,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10473 Pelham - Throgs Neck (Bronx),,,,,,,,65335801-6b00-53f6-fd76-c1209ef76608
10/21/2023 0:57,10/21/2023 1:08,IP Address,100,670,TRUE,10/21/2023 1:08,R_1F8N3mWFMoosetQ,,,,,anonymous,EN,CONSENT,10018 Chelsea - Clinton (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $510 in 12 months,,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",Receiving $500 in 12 months (1 year),Guaranteed $50,300,300,200,200,My work or school was entirely remote from March through December 2020,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,,,Disagree,Agree,...were available near me and I attended occasionally (1-2 times per month).,No,,I could have isolated for the entire recommended time,,,Only in places that forced it,I always wore it when I left home,I never wore a mask when I left home,I never wore a mask when I left home,I never wore a mask when I left home,Multiple times each week,Never,"Rarely, when it could not be avoided",Weekly,"Rarely, when it could not be avoided",Things will be much better,I always had access through my provider,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,My financial situation became somewhat worse,My debts increase beyond what I earn in a given month,1984,Man,,MBA,Click to write Choice 7,Black or African-American,,10016 Gramercy Park - Murray Hill (Manhattan),,,,,,,,6533599d-8f30-db23-d72f-bcadef66426a
10/21/2023 1:10,10/21/2023 1:12,IP Address,100,105,TRUE,10/21/2023 1:12,R_bBFhTsAIoPjDPJT,,,,,anonymous,EN,CONSENT,10025 Upper West Side (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65335d24-8719-a5eb-7464-467a05dde979
10/21/2023 1:13,10/21/2023 1:14,IP Address,100,67,TRUE,10/21/2023 1:14,R_2asr0x2RcKm7oqn,,,,,anonymous,EN,CONSENT,10453 Crotona -Tremont (Bronx),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65335e00-69a3-296d-eb30-cf1ce6dbf872
10/21/2023 1:03,10/21/2023 1:16,IP Address,100,748,TRUE,10/21/2023 1:16,R_12QO0TFVEUOUOu9,,,,,anonymous,ZH-S,CONSENT,11220 Sunset Park (Brooklyn),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",Receiving $500 in 12 months (1 year),Guaranteed $50,400,200,200,200,I was not working or studying  from March through December 2020,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,,,,,...were available near me but I did not attend.,Yes,I stayed at home but had some contact with those I live with,,It was not possible for me to remain at home due to work/family/care/personal obligations,,When most people were masking,I always wore it when I left home,When places were crowded,I always wore it when I left home,When places were crowded,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",The same as before the pandemic,"Rarely, when it could not be avoided",Things will be somewhat worse,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I pay off any balances every month,1978,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),Asian,,11228 Bensonhurst - Bay Ridge (Brooklyn),,,,,,,,65335b9e-25a3-5741-19a4-bd80a9bf40b3
10/21/2023 1:25,10/21/2023 1:26,IP Address,100,70,TRUE,10/21/2023 1:26,R_XS3zUCo6HdMobVD,,,,,anonymous,EN,CONSENT,10456 High Bridge - Morrisania (Bronx),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6533608c-d6bf-ad9e-14e3-8bab97c4d843
10/21/2023 1:20,10/21/2023 1:31,IP Address,100,704,TRUE,10/21/2023 1:31,R_2BzieCaEdNr0zck,,,,,anonymous,EN,CONSENT,10473 Pelham - Throgs Neck (Bronx),Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,PASS,Receiving $5500 in 12 months,,,Receiving $5000 right now,,"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",Receiving $500 in 12 months (1 year),Guaranteed $50,500,0,250,250,My work or school was entirely remote from March through December 2020,Agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,,,Strongly agree,Strongly agree,...were never something I would have considered doing in 2020.,Yes,I mostly stayed at home but went out a few times (minimal contact with others),,"I lived with other people in a home where it was not possible to isolate,Delivery services were too expensive",,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Once or twice a month,"Rarely, when it could not be avoided",Once or twice a month,Once or twice a month,Once or twice a month,Things will be about the same,I always had access through my provider,I paid off my bills and saved a small amount,I can pay off my bills and save a small amount,My financial situation became somewhat worse,I generally pay off the interest but not the balance,1983,Woman,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),"Asian,Black or African-American,Native American,White",,10473 Pelham - Throgs Neck (Bronx),,,,,,,,65335f75-3b7f-f754-3be7-1ae6e4a50076
10/20/2023 23:10,10/21/2023 1:40,IP Address,100,8955,TRUE,10/21/2023 1:40,R_UfnAunoWYHeQt8Z,,,,,anonymous,EN,CONSENT,11226 East Flatbush - Flatbush (Brooklyn),Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,PASS,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",Receiving $500 in 12 months (1 year),Guaranteed $50,1000,0,0,0,My work or school involved both remote and in-person from March through December 2020,Agree,Agree,Agree,Do not know,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,...were available near me and I attended once.,Yes,I was able to remain completely isolated for the recommended time,,,,When places were crowded,When most people were masking,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Never,Never,Never,Never,Never,Things will be about the same,I always had access through my provider,I paid off my bills but was not able to save,I have to take on a lot of debt to pay my bills,My financial situation became somewhat worse,I make the minimum payment and the interest is charged,1967,Man,,Secondary school (high school),Employed full-time (25+ hours per week),"Black or African-American,Hispanic",,11226 East Flatbush - Flatbush (Brooklyn),,,,,,,,65334110-d534-5099-dd7b-5892f60f9e8d
10/21/2023 1:38,10/21/2023 1:44,IP Address,100,369,TRUE,10/21/2023 1:44,R_CmilQu95T8j8Gjf,,,,,anonymous,EN,CONSENT,11212 Bedford Stuyvesant - Crown Heights (Brooklyn),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",Receiving $500 in 12 months (1 year),A 75% chance of $67 (25% chance of $0),900,0,100,0,My work or school was entirely remote from March through December 2020,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Do not know,Disagree,Disagree,Strongly agree,Do not know,Do not know,Disagree,,,Strongly disagree,Strongly agree,...were available near me but I did not attend.,No,,I could have mostly stayed at home but would have had to go out a few times (minimal contact with others),Delivery services were too expensive,,Only in places that forced it,When most people were masking,Only in places that forced it,I always wore it when I left home,When most people were masking,Once or twice a month,Multiple times each week,Never,Once or twice a month,Weekly,Things will be somewhat better,I usually had access but there were some extended outages,I paid off my bills but was not able to save,I have to take on some debt to pay my bills,There were no major impacts on my financial situation,My debts increase beyond what I earn in a given month,2002,Woman,,College or university (Bachelor or equivalent),Full-time student,Native American,,11212 Bedford Stuyvesant - Crown Heights (Brooklyn),,,,,,,,653363b1-6121-c460-9331-babf70423ae4
10/21/2023 1:36,10/21/2023 1:44,IP Address,100,490,TRUE,10/21/2023 1:44,R_3oHkvmX9frFx33G,,,,,anonymous,EN,CONSENT,10004 Lower Manhattan (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",Receiving $500 in 12 months (1 year),Guaranteed $50,300,0,300,400,My work or school was entirely remote from March through December 2020,Agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Agree,,,Agree,Strongly agree,...were available near me and I attended once.,No,,I could have isolated for the entire recommended time,,,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,Weekly,Weekly,Once or twice a month,Multiple times each week,Multiple times each week,Things will be much better,I had to use a hotspot to access the internet,I paid off my bills but was not able to save,I am unable to pay all of my bills,There were no major impacts on my financial situation,I generally pay off the interest but not the balance,2001,Man,,Vocational school,Click to write Choice 7,Black or African-American,,10004 Lower Manhattan (Manhattan),,,,,,,,65336354-060d-e87a-0afa-a1bd6e08bdec
10/21/2023 1:44,10/21/2023 1:44,IP Address,100,42,TRUE,10/21/2023 1:44,R_eaZHBB4TfnL2e4h,,,,,anonymous,EN,CONSENT,10002 Union Square - Lower East Side (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $500 right now,,,,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65336516-071e-46bb-8815-d02bea9d6ea1
10/21/2023 1:56,10/21/2023 2:04,IP Address,100,503,TRUE,10/21/2023 2:04,R_3oF7VRhdK5ubn1F,,,,,anonymous,EN,CONSENT,10453 Crotona -Tremont (Bronx),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $5000 right now,,,"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",Receiving $500 in 12 months (1 year),Guaranteed $50,500,150,150,200,I was not working or studying  from March through December 2020,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,...were something I considered but none were available near me.,Yes,I was able to remain completely isolated for the recommended time,,,,I never left home in this period,I never left home in this period,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Never,Never,Never,Never,Never,Things will be much better,I always had access through my provider,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,My financial situation became much worse,I make the minimum payment and the interest is charged,1989,Woman,,Vocational school,Not in paid employment (unable to work due to health/personal reasons),Black or African-American,,,,,,,,,,653367e6-52c0-5e65-c01b-9a6f33062b1d
10/21/2023 2:06,10/21/2023 2:07,IP Address,100,61,TRUE,10/21/2023 2:07,R_3EtGAZjf7ipYKDr,,,,,anonymous,EN,CONSENT,10002 Union Square - Lower East Side (Manhattan),Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65336a5d-8ead-4c00-d235-659531438b25
10/21/2023 1:02,10/21/2023 2:08,IP Address,100,3937,TRUE,10/21/2023 2:08,R_2ToPt7D6kJCHZpf,,,,,anonymous,EN,CONSENT,10002 Union Square - Lower East Side (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65335b30-dec9-1949-bb7c-97fad7709274
10/21/2023 2:16,10/21/2023 2:18,IP Address,100,103,TRUE,10/21/2023 2:18,R_r8b5rJviGs9eUDf,,,,,anonymous,EN,CONSENT,10453 Crotona -Tremont (Bronx),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65336cb5-9af4-bc06-9297-2767f8f8410b
10/21/2023 2:21,10/21/2023 2:23,IP Address,100,107,TRUE,10/21/2023 2:23,R_9S4xAtH1nhyeYIp,,,,,anonymous,EN,CONSENT,10029 East Harlem (Manhattan),Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15b6b3bd-5c77-03fa-c754-879de69b0e2a
10/21/2023 2:51,10/21/2023 2:58,IP Address,100,470,TRUE,10/21/2023 2:58,R_3IY4vMOjoILexsx,,,,,anonymous,EN,CONSENT,10029 East Harlem (Manhattan),Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,PASS,Receiving $5000 right now,Receiving $5000 right now,Receiving $7500 in 12 months,,,"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",Receiving $500 in 12 months (1 year),A 75% chance of $67 (25% chance of $0),200,200,400,200,My work or school was entirely remote from March through December 2020,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,,,Disagree,Agree,...were available near me and I attended once.,Yes,I was able to remain completely isolated for the recommended time,,,,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,The same as before the pandemic,The same as before the pandemic,Multiple times each week,The same as before the pandemic,The same as before the pandemic,Things will be somewhat worse,I usually had access but there were some extended outages,I had to take on some debt to pay my bills,"All my bills get paid off each month and I have enough to save, invest, or spend freely",My financial situation became somewhat better,I make the minimum payment and the interest is charged,1981,Man,,Secondary school (high school),Employed full-time (25+ hours per week),Black or African-American,,10029 East Harlem (Manhattan),,,,,,,,653374d1-1213-b222-5761-3e6ff5dc3244
