"","ResponseId","zipcode","Gain550","Gain600","Gain750","Gain510","Gain505","Pay550","Pay600","Pay750","Pay510","Pay505","Gain5500","Gain6000","Gain7500","Gain5100","Gain5050","Common_difference","loss_gain_1","loss_loss_1","loss_gain_2","loss_loss_2","loss_gain_3","loss_loss_3","alloc_debt","alloc_spend","alloc_save","alloc_invest","work_situation","agency_pub_trans_avail","agency_pub_trans_realistic","agency_uber_avail","agency_uber_realistic","agency_delivery_avail","agency_delivery_realistic","agency_grocery_avail","agency_grocery_realistic","agency_pharma_avail","agency_pharma_realistic","agency_docs_avail","agency_docs_realistic","agency_online_avail","agency_online_realistic","agency_IP_safe_avail","agency_IP_safe_realistic","agency_remote_avail","agency_remote_realistic","no_crowds","covid","covid_isolate_reality","covid_isolate_imagine","covid_no_isolate","covid_no_isolate_text","mask_march2020","mask_spring2020","mask_summer2020","mask_fall2020","mask_winter2020","indoor_march2020","indoor_spring2020","indoor_summer2020","indoor_fall2020","indoor_winter2020","expectation","internet_access","bills_2020","bills_current","financial_2020","situation_debt","Gender","EducationCompleted","Employment","Ethnic","Ethnic_text","work_zipcode","Age","Risk_preference"
"236","R_1KvSERIVch28rSk","10453 Crotona -Tremont (Bronx)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $550 in 12 months","Paying $600 in 12 months","Paying $500 right now",NA,NA,"Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 45% chance of losing $9,000","200","400","300","100","My work or school was entirely in-person from March through December 2020","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Strongly disagree","Disagree","Disagree","Agree",NA,NA,"...were available near me but I did not attend.","No",NA,"I could have stayed at home but would have had some contact with those I live with","I lived with other people in a home where it was not possible to isolate",NA,"Only in places that forced it","When most people were masking","When most people were masking","When most people were masking","When most people were masking","Weekly","Weekly","Once or twice a month","Once or twice a month","Once or twice a month","Things will be somewhat worse","I always had access through my provider","I had to take on some debt to pay my bills","I have to take on some debt to pay my bills","My financial situation became somewhat worse","I generally pay off the interest but not the balance","Female","Graduate (Masters or equivalent)","Employed full-time (25+ hours per week)","Black or African-American",NA,"10453 Crotona -Tremont (Bronx)",27,0
"237","R_vYNd3Qgm6GxXfMJ","10473 Pelham - Throgs Neck (Bronx)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $5000 right now","Receiving $7500 in 12 months",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500","100","200","500","200","I was not working or studying  from March through December 2020","Strongly agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Strongly agree","Agree",NA,NA,NA,NA,"...were available near me but I did not attend.","I was sick but it was not a confirmed case of COVID","I stayed at home but had some contact with those I live with",NA,"I lived with other people in a home where it was not possible to isolate",NA,"I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","Rarely, when it could not be avoided","Never","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Things will be much better","I always had access through my provider","I was unable to pay all of my bills","I am unable to pay all of my bills","My financial situation became somewhat worse","I never purchase anything on credit or take on debt","Male","Secondary school (high school)","Not in paid employment (looking for work)","Hispanic,White",NA,NA,25,0
"238","R_1qb43ww81ebC1zJ","10304 Stapleton - St. George (Staten Island)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $550 in 12 months","Paying $600 in 12 months","Paying $500 right now",NA,NA,"Receiving $5000 right now","Receiving $6000 in 12 months",NA,NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","1000","0","0","0","My work or school was entirely remote from March through December 2020","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree",NA,NA,"Agree","Agree","...were never something I would have considered doing in 2020.","Yes","I stayed at home but had some contact with those I live with",NA,"I lived with other people in a home where it was not possible to isolate",NA,"I never left home in this period","I never left home in this period","When places were crowded","I always wore it when I left home","I always wore it when I left home","Never","Never","Never","Never","Rarely, when it could not be avoided","Things will be somewhat better","I always had access through my provider","I paid off my bills and saved a small amount","I can pay off my bills and save a small amount","There were no major impacts on my financial situation","I pay off much of the balance","Male","Doctoral degree","Employed full-time (25+ hours per week)","White",NA,"10014 Greenwich Village - SoHo (Manhattan)",37,0
"239","R_2c8IjOXv8tZ1sMs","11226 East Flatbush - Flatbush (Brooklyn)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $550 in 12 months","Paying $600 in 12 months","Paying $750 in 12 months",NA,NA,"Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500","350","150","500","0","My work or school was entirely in-person from March through December 2020","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,NA,"...were never something I would have considered doing in 2020.","No",NA,"I could have isolated for the entire recommended time",NA,NA,"I never left home in this period","I never left home in this period","I never left home in this period","I always wore it when I left home","I always wore it when I left home","Never","Never","Never","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Things will be somewhat worse","I always had access through my provider","I had to take on a lot of debt to pay my bills","I am unable to pay all of my bills","My financial situation became somewhat worse","I generally pay off the interest but not the balance","Male","College or university (Bachelor or equivalent)","Full-time student","Black or African-American",NA,"11217 Downtown - Heights - Slope (Brooklyn)",23,0
"240","R_31FXrhzYSagx3YN","10004 Lower Manhattan (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500","0","0","500","500","My work or school was entirely remote from March through December 2020","Strongly agree","Agree","Agree","Strongly disagree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Strongly agree",NA,NA,"Agree","Agree","...were available near me and I attended multiple times each week.","Yes","I was able to remain completely isolated for the recommended time",NA,NA,NA,"I never left home in this period","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","Indoors","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Once or twice a month","Once or twice a month","Once or twice a month","Things will be somewhat better","I always had access through my provider","I paid off my bills but was not able to save","I can pay off my bills but am not able to save","My financial situation became somewhat worse","I pay off any balances every month","Female","College or university (Bachelor or equivalent)","Employed part-time (less than 25 hours per week)","Native American",NA,"10001 Chelsea - Clinton (Manhattan)",23,0
"241","R_STbNSlStkoi1Ych","11206 Williamsburg - Bushwick (Brooklyn)","Receiving $550 in 12 months",NA,NA,"Receiving $500 right now",NA,"Paying $550 in 12 months","Paying $600 in 12 months","Paying $750 in 12 months",NA,NA,"Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","100","500","100","300","My work or school was entirely in-person from March through December 2020","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,NA,"...were something I considered but none were available near me.","No",NA,"I could have isolated for the entire recommended time",NA,NA,"I never left home in this period","I never left home in this period","When most people were masking","Only in places that forced it","I never left home in this period","Multiple times each week","Once or twice a month","Rarely, when it could not be avoided","Multiple times each week","Multiple times each week","Things will be much better","I always had access through my provider","I had to take on a lot of debt to pay my bills","I have to take on a lot of debt to pay my bills","There were no major impacts on my financial situation","My debts increase beyond what I earn in a given month","Male","College or university (Bachelor or equivalent)","Full-time student","White,Immigrant",NA,"11206 Williamsburg - Bushwick (Brooklyn)",23,0
"242","R_PNipF5toXXtRxXH","10302 Port Richmond (Staten Island)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $550 in 12 months","Paying $600 in 12 months","Paying $750 in 12 months",NA,NA,"Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","800","0","200","0","I was not working or studying  from March through December 2020","Agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree",NA,NA,NA,NA,"...were never something I would have considered doing in 2020.","No",NA,"I could have isolated for the entire recommended time",NA,NA,"I always wore it when I left home","I always wore it when I left home","Indoors","Indoors","Indoors","Never","Never","Once or twice a month","Never","Never","Things will be somewhat better","I always had access through my provider","I paid off my bills but was not able to save","I can pay off my bills and save a small amount","There were no major impacts on my financial situation","I make the minimum payment and the interest is charged","Male","Secondary school (high school)","Not in paid employment (looking for work)","White",NA,NA,57,0
"243","R_3gUBaHRYibbVr8l","11237 Williamsburg - Bushwick (Brooklyn)","Receiving $500 right now","Receiving $600 in 12 months",NA,NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $505 in 12 months","Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $600 in 24 months (2 years)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","1000","0","0","0","My work or school was entirely remote from March through December 2020","Strongly agree","Agree","Strongly disagree","Strongly agree","Do not know","Strongly agree","Do not know","Strongly agree","Disagree","Agree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree",NA,NA,"Agree","Agree","...were something I considered but none were available near me.","No",NA,"I could have isolated for the entire recommended time",NA,NA,"When most people were masking","I never left home in this period","Only in places that forced it","Indoors","I always wore it when I left home","Never","The same as before the pandemic","Rarely, when it could not be avoided","Never","The same as before the pandemic","Things will be somewhat worse","I did not have access at home and had to use it elsehwere","I had to take on a lot of debt to pay my bills","I have to take on a lot of debt to pay my bills","My financial situation became somewhat worse","I generally pay off the interest but not the balance","Female","College or university (Bachelor or equivalent)","Click to write Choice 7","Arab/Middle Eastern,Pacific Islander",NA,"11693 Rockaways (Queens)",32,1
"244","R_WoL4HfdHFKRZlUR","11220 Sunset Park (Brooklyn)","Receiving $550 in 12 months",NA,NA,"Receiving $500 right now",NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5500 in 12 months",NA,NA,"Receiving $5100 in 12 months","Receiving $5050 in 12 months","Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","300","500","100","100","My work or school was entirely remote from March through December 2020","Agree","Strongly disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree",NA,NA,"Strongly agree","Strongly agree","...were available near me but I did not attend.","Yes","I was able to remain completely isolated for the recommended time",NA,NA,NA,"I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","When places were crowded","I always wore it when I left home","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Once or twice a month","Once or twice a month","Rarely, when it could not be avoided","Things will be about the same","I always had access through my provider","I paid off my bills and saved a small amount","I can pay off my bills and save a small amount","There were no major impacts on my financial situation","I generally pay off the interest but not the balance","Male","Graduate (Masters or equivalent)","Employed full-time (25+ hours per week)","Asian",NA,"11232 Sunset Park (Brooklyn)",27,2
"245","R_2SuB8WEHsAOF8yJ","10029 East Harlem (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","1000","0","0","0","I was not working or studying  from March through December 2020","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,NA,NA,NA,"...were never something I would have considered doing in 2020.","No",NA,"I could have stayed at home but would have had some contact with those I live with","I lived with other people in a home where it was not possible to isolate",NA,"I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Once or twice a month","Once or twice a month","Rarely, when it could not be avoided","Things will be about the same","I always had access through my provider","I paid off my bills but was not able to save","I have to take on some debt to pay my bills","There were no major impacts on my financial situation","I pay off much of the balance","Female","College or university (Bachelor or equivalent)","Not in paid employment (unable to work due to health/personal reasons)","White",NA,NA,78,3
"246","R_299UAIIFfxnPL4V","11209 Bensonhurst - Bay Ridge (Brooklyn)","Receiving $550 in 12 months",NA,NA,"Receiving $500 right now",NA,"Paying $500 right now",NA,NA,"Paying $510 in 12 months",NA,"Receiving $5500 in 12 months",NA,NA,"Receiving $5000 right now",NA,"Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500","200","300","250","250","My work or school involved both remote and in-person from March through December 2020","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Do not know","Agree","Agree","Strongly agree","Agree","Strongly agree","...were available near me and I attended occasionally (1-2 times per month).","No",NA,"I could have isolated for the entire recommended time",NA,NA,"I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","Weekly","Once or twice a month","Once or twice a month","Weekly","Weekly","Things will be about the same","I always had access through my provider","I had to take on some debt to pay my bills","I have to take on some debt to pay my bills","There were no major impacts on my financial situation","I pay off much of the balance","Male","College or university (Bachelor or equivalent)","Employed full-time (25+ hours per week)","Asian",NA,"10036 Chelsea - Clinton (Manhattan)",36,0
"247","R_54n4j75u57anBHX","10025 Upper West Side (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $6000 in 12 months",NA,NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","1000","0","0","0","My work or school was entirely remote from March through December 2020","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree",NA,NA,"Strongly agree","Agree","...were available near me and I attended occasionally (1-2 times per month).","No",NA,"I could have isolated for the entire recommended time",NA,NA,"When most people were masking,Indoors,When places were crowded","Only in places that forced it,When most people were masking,When places were crowded","Only in places that forced it","Only in places that forced it","Only in places that forced it","Never","Never","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Once or twice a month","Things will be somewhat worse","I always had access through my provider","I paid off my bills but was not able to save","I have to take on some debt to pay my bills","My financial situation became much worse","I pay off much of the balance","Female","College or university (Bachelor or equivalent)","Full-time student","White",NA,"10027 Central Harlem - Morningside Heights (Manhattan)",24,0
"248","R_1geBndhPr8x7hGz","11206 Williamsburg - Bushwick (Brooklyn)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $550 in 12 months","Paying $600 in 12 months","Paying $500 right now",NA,NA,"Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500","375","95","250","280","My work or school involved both remote and in-person from March through December 2020","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","...were available near me and I attended once.","No",NA,"I could have isolated for the entire recommended time",NA,NA,"When most people were masking","When places were crowded","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","Multiple times each week","Weekly","Once or twice a month","The same as before the pandemic","The same as before the pandemic","Things will be somewhat better","I always had access through my provider","I paid off my bills and saved a small amount","I can pay off my bills and save a small amount","My financial situation became somewhat worse","I generally pay off the interest but not the balance","Male","Secondary school (high school)","Employed full-time (25+ hours per week)","Hispanic",NA,"11206 Williamsburg - Bushwick (Brooklyn)",29,4
"249","R_1g1quC9XhI8kzKS","10457 Crotona -Tremont (Bronx)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000","100","400","100","400","My work or school was entirely remote from March through December 2020","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree",NA,NA,"Strongly agree","Strongly agree","...were available near me and I attended multiple times each week.","No",NA,"I could have stayed at home but would have had some contact with those I live with","I lived with other people in a home where it was not possible to isolate",NA,"Only in places that forced it","Only in places that forced it","When most people were masking","I never wore a mask when I left home","I never wore a mask when I left home","The same as before the pandemic","The same as before the pandemic","The same as before the pandemic","The same as before the pandemic","The same as before the pandemic","Things will be much better","I always had access through my provider","I was unable to pay all of my bills","I am unable to pay all of my bills","My financial situation became much worse","I pay off much of the balance","Male","College or university (Bachelor or equivalent)","Employed part-time (less than 25 hours per week)","Black or African-American",NA,"Outside New York City (nowhere in the five boroughs)",23,1
"250","R_2c1RLPiBnUGBy7A","10002 Union Square - Lower East Side (Manhattan)","Receiving $500 right now","Receiving $600 in 12 months",NA,NA,NA,"Paying $500 right now",NA,NA,"Paying $510 in 12 months",NA,"Receiving $5500 in 12 months",NA,NA,"Receiving $5000 right now",NA,"Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000","200","300","250","250","My work or school was entirely remote from March through December 2020","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,NA,"Strongly agree","Strongly agree","...were never something I would have considered doing in 2020.","No",NA,"I could have isolated for the entire recommended time",NA,NA,"I never wore a mask when I left home","Only in places that forced it,When most people were masking","I never wore a mask when I left home","I never wore a mask when I left home","Only in places that forced it","Rarely, when it could not be avoided","Never","Weekly","Never","Never","Things will be much worse","I always had access through my provider","I was unable to pay all of my bills","I am unable to pay all of my bills","My financial situation became much worse","My debts increase beyond what I earn in a given month","Male","Graduate (Masters or equivalent)","Full-time student","White",NA,"10002 Union Square - Lower East Side (Manhattan)",36,3
"251","R_2rPgLW3ca2iFiJ2","10029 East Harlem (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $550 in 12 months","Paying $600 in 12 months","Paying $750 in 12 months",NA,NA,"Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500","600","400","0","0","I was not working or studying  from March through December 2020","Agree","Agree","Disagree","Do not know","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree",NA,NA,NA,NA,"...were available near me but I did not attend.","Yes","I stayed at home but had some contact with those I live with",NA,"I lived with other people in a home where it was not possible to isolate",NA,"I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","The same as before the pandemic","The same as before the pandemic","The same as before the pandemic","The same as before the pandemic","The same as before the pandemic","Things will be much better","I always had access through my provider","I was unable to pay all of my bills","I am unable to pay all of my bills","My financial situation became much worse","I never purchase anything on credit or take on debt","Female","Secondary school (high school)","Not in paid employment (looking for work)","Black or African-American",NA,NA,42,0
"252","R_27wVLUvmJu61BGr","10002 Union Square - Lower East Side (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $550 in 12 months","Paying $600 in 12 months","Paying $500 right now",NA,NA,"Receiving $5000 right now","Receiving $5000 right now","Receiving $7500 in 12 months",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","1000","0","0","0","I was not working or studying  from March through December 2020","Do not know","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,NA,NA,NA,"...were available near me but I did not attend.","Yes","I continued my normal routine and regularly had contact with others",NA,"There were no delivery services for things I needed",NA,"I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","I always wore it when I left home","The same as before the pandemic","The same as before the pandemic","Weekly","The same as before the pandemic","The same as before the pandemic","Things will be much better","I always had access through my provider","All my bills were paid off each month and I have enough to save, invest, or spend freely","I am unable to pay all of my bills","My financial situation became much better","My debts increase beyond what I earn in a given month","Male","College or university (Bachelor or equivalent)","Not in paid employment (by choice)","Black or African-American",NA,NA,40,0
"253","R_2zRZv55C230Zgdl","10312 South Beach - Tottenville (Staten Island)","Receiving $500 right now","Receiving $500 right now","Receiving $750 in 12 months",NA,NA,"Paying $550 in 12 months","Paying $500 right now",NA,NA,NA,"Receiving $5500 in 12 months",NA,NA,"Receiving $5000 right now",NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 45% chance of losing $9,000","200","500","200","100","My work or school was entirely in-person from March through December 2020","Strongly disagree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Agree","Strongly disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree",NA,NA,"...were something I considered but none were available near me.","No",NA,"I could have mostly stayed at home but would have had to go out a few times (minimal contact with others)","There were no delivery services for things I needed",NA,"Only in places that forced it,Indoors","Only in places that forced it","I never left home in this period","Only in places that forced it,Indoors","Only in places that forced it,When places were crowded","Rarely, when it could not be avoided","Once or twice a month","Weekly","The same as before the pandemic","Multiple times each week","Things will be somewhat better","I had to find public spaces to access internet","I had to take on some debt to pay my bills","I can pay off my bills but am not able to save","There were no major impacts on my financial situation","I pay off any balances every month","Female","Graduate (Masters or equivalent)","Employed full-time (25+ hours per week)","Asian,Black or African-American",NA,"10312 South Beach - Tottenville (Staten Island)",24,2
"254","R_1Ka3UJGBCZAfeB2","11375 Ridgewood - Forest Hills (Queens)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $6000 in 12 months",NA,NA,NA,"Receiving $500 in 12 months (1 year)","An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000","700","60","200","40","My work or school was entirely remote from March through December 2020","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,NA,"Agree","Disagree","...were something I considered but none were available near me.","Yes","I stayed at home but had some contact with those I live with",NA,"I lived with other people in a home where it was not possible to isolate",NA,"Only in places that forced it","I always wore it when I left home","I always wore it when I left home","I never wore a mask when I left home","I never wore a mask when I left home","Never","Never","Never","Never","Never","Things will be somewhat worse","I always had access through my provider","I had to take on some debt to pay my bills","I have to take on a lot of debt to pay my bills","My financial situation became somewhat worse","I generally pay off the interest but not the balance","Male","College or university (Bachelor or equivalent)","Full-time student","Hispanic",NA,"11375 Ridgewood - Forest Hills (Queens)",24,3
"255","R_2Vxyp32wkqxnOjg","10003 Union Square - Lower East Side (Manhattan)","Receiving $500 right now","Receiving $500 right now","Receiving $500 right now",NA,NA,"Paying $500 right now",NA,NA,"Paying $500 right now","Paying $500 right now","Receiving $5000 right now","Receiving $5000 right now","Receiving $5000 right now",NA,NA,"Receiving $500 in 12 months (1 year)","A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000","0","0","0","1000","My work or school was entirely in-person from March through December 2020","Disagree","Strongly disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree",NA,NA,"...were never something I would have considered doing in 2020.","Yes","I was able to remain completely isolated for the recommended time",NA,NA,NA,"I never left home in this period","I never left home in this period","I never left home in this period","I never left home in this period","I never left home in this period","Weekly","Weekly","Weekly","Weekly","Weekly","Things will be about the same","I always had access through my provider","All my bills were paid off each month and I have enough to save, invest, or spend freely","All my bills get paid off each month and I have enough to save, invest, or spend freely","My financial situation became much better","I pay off any balances every month","Male","College or university (Bachelor or equivalent)","Click to write Choice 7","Black or African-American",NA,"I travel for my work (e.g., delivery, at-large repair, public transportation, etc.)",25,0
