ResponseId,zipcode,alloc_debt,alloc_spend,alloc_save,alloc_invest,Age,Risk_preference,score,presbias,absolmag,gainloss,loss_gain_1,loss_loss_1,loss_gain_2,loss_loss_2,loss_gain_3,loss_loss_3,gain_bias,loss_bias,loss_aversion_scores,total_avail,total_realistic,num_items,rescale_avail,rescale_realistic,agency,agency_pub_trans_avail,agency_pub_trans_realistic,agency_uber_avail,agency_uber_realistic,agency_delivery_avail,agency_delivery_realistic,agency_grocery_avail,agency_grocery_realistic,agency_pharma_avail,agency_pharma_realistic,agency_docs_avail,agency_docs_realistic,agency_online_avail,agency_online_realistic,agency_IP_safe_avail,agency_IP_safe_realistic,agency_remote_avail,agency_remote_realistic,regulated_agency,regulated_tdscores,regulated_loss,zipcode_5,ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,expectation_num,internet_num,financial_2020_num,financial_now_num,financial_change_num,credit_debt_num,age_num,gender_num,education_num,employment_num,race_num,destination,financials,alloc_debt_scaled,alloc_spend_scaled,alloc_save_scaled,alloc_invest_scaled,age_num_scaled,expectation_num_scaled,financial_2020_num_scaled,financial_now_num_scaled,financial_change_num_scaled,credit_debt_num_scaled,education_num_scaled,employment_num_scaled,financials_scaled
R_0OPLZoCVgslBvR7,10301 Stapleton - St. George (Staten Island),500,200,100,200,37,0,9,0,0,0,1,1,0,1,0,1,1,3,4,-6.0,-8.0,16,-6.0,-8.0,-14.0,-1,-1,-2,-1,-1,-1,-1,-2,-1,-1,1,1,-2,-2,1.0,-1.0,,,28.125,56.25,66.66666666666667,10301.0,10301,10301,10301,10301.0,10301 Stapleton - St. George (Staten Island),1.0,1.0,168,3.0,2.0,3.0,2.0,3.0,4.0,38.0,1.0,3.0,1.0,2.0,,8.0,50.0,20.0,10.0,20.0,23.880597014925375,50.0,40.0,20.0,50.0,60.0,33.333333333333336,16.666666666666668,35.714285714285715
R_0qSdw7DniJSW4qR,10018 Chelsea - Clinton (Manhattan),0,0,1000,0,52,0,15,1,0,0,1,1,0,1,1,1,2,3,5,13.0,11.0,14,14.857142857142858,12.571428571428571,27.42857142857143,2,2,2,1,1,1,2,1,2,2,2,2,2,2,,,,,92.85714285714286,93.75,83.33333333333333,10018.0,10018,10018,10018,10018.0,10018 Chelsea - Clinton (Manhattan),2.0,2.0,86,5.0,4.0,6.0,6.0,5.0,6.0,53.0,-1.0,7.0,6.0,3.0,10006 Lower Manhattan (Manhattan),17.0,0.0,0.0,100.0,0.0,46.26865671641791,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
R_0SZFpfpC6O5HFjb,11217 Downtown - Heights - Slope (Brooklyn),600,100,200,100,27,0,10,0,0,0,1,1,1,1,1,1,3,3,6,13.0,13.0,16,13.0,13.0,26.0,2,2,1,1,2,2,2,2,2,2,1,1,1,1,,,2.0,2.0,90.625,62.5,100.0,11217.0,11217,11217,11217,11217.0,11217 Downtown - Heights - Slope (Brooklyn),4.0,4.0,30,4.0,4.0,5.0,5.0,4.0,6.0,28.0,-1.0,2.0,5.0,2.0,11217 Downtown - Heights - Slope (Brooklyn),14.0,60.0,10.0,20.0,10.0,8.955223880597014,75.0,80.0,80.0,75.0,100.0,16.666666666666668,83.33333333333333,78.57142857142857
R_0uZgT1R6o8dxHFv,10009 Union Square - Lower East Side (Manhattan),1,800,60,139,32,0,11,0,0,1,1,1,1,0,1,1,3,2,5,10.0,14.0,18,8.88888888888889,12.444444444444445,21.333333333333336,1,2,1,1,1,2,2,1,-1,1,1,1,2,2,1.0,2.0,2.0,2.0,83.33333333333334,68.75,83.33333333333333,10009.0,10009,10009,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98,4.0,3.0,2.0,4.0,4.0,4.0,33.0,-1.0,3.0,5.0,3.0,10009 Union Square - Lower East Side (Manhattan),10.0,0.1,80.0,6.0,13.9,16.417910447761194,75.0,20.0,60.0,75.0,60.0,33.333333333333336,83.33333333333333,50.0
R_0wvGeSIZj1tFudX,11220 Sunset Park (Brooklyn),600,50,300,50,31,0,11,0,0,1,0,0,1,0,1,1,2,1,3,6.0,2.0,16,6.0,2.0,8.0,1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,,,1.0,1.0,62.5,68.75,50.0,11220.0,11220,11220,11220,11220.0,11220 Sunset Park (Brooklyn),57.0,57.0,39,4.0,6.0,4.0,4.0,4.0,1.0,32.0,1.0,4.0,6.0,4.0,11220 Sunset Park (Brooklyn),12.0,60.0,5.0,30.0,5.0,14.925373134328359,75.0,60.0,60.0,75.0,0.0,50.0,100.0,64.28571428571429
R_10C1pfKQPbC7CSZ,11217 Downtown - Heights - Slope (Brooklyn),600,100,200,100,27,0,16,0,0,0,1,1,1,1,1,1,3,3,6,9.0,9.0,16,9.0,9.0,18.0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1.0,1.0,,,78.125,100.0,100.0,11217.0,11217,11217,11217,11217.0,11217 Downtown - Heights - Slope (Brooklyn),4.0,4.0,30,3.0,6.0,6.0,6.0,3.0,6.0,28.0,-1.0,2.0,5.0,2.0,11217 Downtown - Heights - Slope (Brooklyn),15.0,60.0,10.0,20.0,10.0,8.955223880597014,50.0,100.0,100.0,50.0,100.0,16.666666666666668,83.33333333333333,85.71428571428571
R_10CK8olh0NSRAPc,11101 Long Island City - Astoria (Queens),750,250,0,0,23,2,9,0,1,1,1,1,0,0,1,1,2,2,4,10.0,3.0,16,10.0,3.0,13.0,1,1,2,-1,1,-1,1,1,2,2,-1,-1,2,1,,,2.0,1.0,70.3125,56.25,66.66666666666667,11101.0,11101,11101,11101,11101.0,11101 Long Island City - Astoria (Queens),33.0,33.0,106,3.0,4.0,2.0,3.0,1.0,3.0,24.0,1.0,2.0,4.0,3.0,10038 Lower Manhattan (Manhattan),6.0,75.0,25.0,0.0,0.0,2.985074626865672,50.0,20.0,40.0,0.0,40.0,16.666666666666668,66.66666666666667,21.428571428571427
R_10CMmoOiHRRSGdl,10304 Stapleton - St. George (Staten Island),700,300,0,0,22,0,12,0,0,0,1,0,0,0,0,1,1,1,2,5.0,0.0,18,4.444444444444445,0.0,4.444444444444445,0,1,1,-1,1,-1,-2,-2,2,1,1,1,2,1,-2.0,-2.0,2.0,2.0,56.94444444444444,75.0,33.333333333333336,10304.0,10304,10304,10304,10304.0,10304 Stapleton - St. George (Staten Island),33.0,33.0,169,4.0,6.0,2.0,4.0,2.0,2.0,23.0,1.0,4.0,4.0,3.0,10304 Stapleton - St. George (Staten Island),8.0,70.0,30.0,0.0,0.0,1.492537313432836,75.0,20.0,60.0,25.0,20.0,50.0,66.66666666666667,35.714285714285715
R_10DAV8YmqYSbWok,10011 Chelsea - Clinton (Manhattan),200,300,200,300,36,2,11,0,0,1,1,0,1,0,1,0,3,0,3,9.0,14.0,16,9.0,14.0,23.0,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2.0,1.0,,,85.9375,68.75,50.0,10011.0,10011,10011,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85,4.0,3.0,4.0,3.0,3.0,2.0,37.0,-1.0,6.0,6.0,3.0,10003 Union Square - Lower East Side (Manhattan),10.0,20.0,30.0,20.0,30.0,22.388059701492537,75.0,60.0,40.0,50.0,20.0,83.33333333333333,100.0,50.0
R_10MeX6PILPYPOwv,11206 Williamsburg - Bushwick (Brooklyn),1000,0,0,0,74,1,13,0,0,0,1,1,0,0,1,1,2,2,4,10.0,5.0,14,11.428571428571429,5.714285714285714,17.142857142857142,2,2,2,0,1,1,1,1,1,1,1,-1,2,1,,,,,76.78571428571428,81.25,66.66666666666667,11206.0,11206,11206,11206,11206.0,11206 Williamsburg - Bushwick (Brooklyn),75.0,75.0,59,3.0,6.0,5.0,5.0,3.0,6.0,75.0,-1.0,2.0,3.0,5.0,,13.0,100.0,0.0,0.0,0.0,79.1044776119403,50.0,80.0,80.0,50.0,100.0,16.666666666666668,50.0,71.42857142857143
R_10NKvN7M6Ye54oY,11375 Ridgewood - Forest Hills (Queens),100,200,700,0,26,1,14,0,0,0,0,1,0,0,0,1,0,2,2,8.0,7.0,14,9.142857142857142,8.0,17.142857142857142,2,2,2,1,-1,1,1,-1,1,1,1,1,2,2,,,,,76.78571428571428,87.5,33.333333333333336,11375.0,11375,11375,11375,11375.0,11375 Ridgewood - Forest Hills (Queens),40.0,40.0,131,3.0,3.0,2.0,4.0,5.0,2.0,27.0,1.0,4.0,4.0,5.0,Outside New York City (nowhere in the five boroughs),11.0,10.0,20.0,70.0,0.0,7.462686567164179,50.0,20.0,60.0,100.0,20.0,50.0,66.66666666666667,57.142857142857146
R_10OFfnBrarXpZnx,10005 Lower Manhattan (Manhattan),0,300,500,200,22,4,10,1,0,1,0,1,1,0,1,0,2,1,3,0.0,-2.0,16,0.0,-2.0,-2.0,-1,-2,-1,-2,-1,-2,-1,-1,2,2,-1,0,1,1,,,2.0,2.0,46.875,62.5,50.0,10005.0,10005,10005,10005,10005.0,10005 Lower Manhattan (Manhattan),18.0,19.0,100,1.0,2.0,5.0,5.0,4.0,1.0,23.0,1.0,2.0,6.0,3.0,10002 Union Square - Lower East Side (Manhattan),14.0,0.0,30.0,50.0,20.0,1.492537313432836,0.0,80.0,80.0,75.0,0.0,16.666666666666668,100.0,78.57142857142857
R_10OfJGPWVSRcSp2,10453 Crotona -Tremont (Bronx),0,0,1000,0,71,0,4,0,0,1,1,1,1,1,1,1,3,3,6,8.0,2.0,14,9.142857142857142,2.2857142857142856,11.428571428571427,2,2,1,-1,1,-1,1,1,1,1,1,1,1,-1,,,,,67.85714285714286,25.0,100.0,10453.0,10453,10453,10453,10453.0,10453 Crotona -Tremont (Bronx),73.0,73.0,15,3.0,6.0,6.0,5.0,3.0,5.0,72.0,-1.0,3.0,3.0,4.0,,14.0,0.0,0.0,100.0,0.0,74.6268656716418,50.0,100.0,80.0,50.0,80.0,33.333333333333336,50.0,78.57142857142857
R_10q17Typ0W66cgz,10025 Upper West Side (Manhattan),200,800,0,0,53,0,12,1,1,1,1,0,1,1,1,1,3,2,5,10.0,9.0,16,10.0,9.0,19.0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,,,1.0,1.0,79.6875,75.0,83.33333333333333,10025.0,10025,10025,10025,10025.0,10025 Upper West Side (Manhattan),134.0,134.0,76,5.0,6.0,5.0,5.0,4.0,6.0,54.0,1.0,4.0,5.0,3.0,10025 Upper West Side (Manhattan),14.0,20.0,80.0,0.0,0.0,47.76119402985075,100.0,80.0,80.0,75.0,100.0,50.0,83.33333333333333,78.57142857142857
R_10YMlQrMEfbpmSC,10002 Union Square - Lower East Side (Manhattan),200,200,200,400,35,0,10,1,0,1,0,1,1,0,1,0,2,1,3,12.0,12.0,18,10.666666666666666,10.666666666666666,21.333333333333332,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1.0,1.0,1.0,1.0,83.33333333333333,62.5,50.0,10002.0,10002,10002,10002,10002.0,10002 Union Square - Lower East Side (Manhattan),121.0,121.0,96,5.0,6.0,4.0,6.0,2.0,6.0,36.0,1.0,5.0,6.0,3.0,10002 Union Square - Lower East Side (Manhattan),12.0,20.0,20.0,20.0,40.0,20.895522388059703,100.0,60.0,100.0,25.0,100.0,66.66666666666667,100.0,64.28571428571429
R_10ZvVWIA59tLKsu,10025 Upper West Side (Manhattan),0,300,300,400,37,1,11,0,0,0,0,0,1,0,1,0,2,0,2,6.0,0.0,16,6.0,0.0,6.0,2,-2,1,-1,-1,-1,1,1,2,2,1,1,1,1,,,-1.0,-1.0,59.375,68.75,33.333333333333336,10025.0,10025,10025,10025,10025.0,10025 Upper West Side (Manhattan),134.0,134.0,76,5.0,6.0,4.0,4.0,2.0,2.0,38.0,-1.0,5.0,6.0,3.0,10025 Upper West Side (Manhattan),10.0,0.0,30.0,30.0,40.0,23.880597014925375,100.0,60.0,60.0,25.0,20.0,66.66666666666667,100.0,50.0
R_110dNr5YUosmacM,11212 Bedford Stuyvesant - Crown Heights (Brooklyn),100,900,0,0,24,0,7,0,0,0,1,1,1,1,1,1,3,3,6,-9.0,-10.0,16,-9.0,-10.0,-19.0,-2,-2,-2,-1,-2,0,-2,-2,-2,-2,-1,0,1,-2,,,1.0,-1.0,20.3125,43.75,100.0,11212.0,11212,11212,11212,11212.0,11212 Bedford Stuyvesant - Crown Heights (Brooklyn),2.0,2.0,32,4.0,6.0,4.0,2.0,3.0,2.0,25.0,1.0,1.0,0.0,5.0,Outside New York City (nowhere in the five boroughs),9.0,10.0,90.0,0.0,0.0,4.477611940298507,75.0,60.0,20.0,50.0,20.0,0.0,0.0,42.857142857142854
R_111TnE6yXifnE2W,10453 Crotona -Tremont (Bronx),100,300,400,200,45,0,12,0,0,0,1,0,0,0,1,0,2,0,2,10.0,14.0,16,10.0,14.0,24.0,1,2,1,2,2,1,1,1,1,2,2,2,1,2,,,1.0,2.0,87.5,75.0,33.333333333333336,10453.0,10453,10453,10453,10453.0,10453 Crotona -Tremont (Bronx),73.0,73.0,15,1.0,4.0,3.0,1.0,2.0,1.0,46.0,-1.0,5.0,6.0,5.0,10453 Crotona -Tremont (Bronx),6.0,10.0,30.0,40.0,20.0,35.82089552238806,0.0,40.0,0.0,25.0,0.0,66.66666666666667,100.0,21.428571428571427
R_115iwos8GGSqhoy,10025 Upper West Side (Manhattan),0,300,500,200,40,0,11,0,0,1,0,0,1,1,1,1,2,2,4,16.0,16.0,16,16.0,16.0,32.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,,,100.0,68.75,66.66666666666667,10025.0,10025,10025,10025,10025.0,10025 Upper West Side (Manhattan),134.0,134.0,76,5.0,6.0,6.0,6.0,5.0,6.0,41.0,-1.0,5.0,6.0,3.0,10025 Upper West Side (Manhattan),17.0,0.0,30.0,50.0,20.0,28.35820895522388,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,100.0
R_116jsJUqL1nNS5l,10455 Hunts Point - Mott Haven (Bronx),700,300,0,0,29,0,11,0,0,1,1,0,1,0,1,0,3,0,3,12.0,12.0,16,12.0,12.0,24.0,1,1,1,1,2,2,1,1,1,1,2,2,2,2,,,2.0,2.0,87.5,68.75,50.0,10455.0,10455,10455,10455,10455.0,10455 Hunts Point - Mott Haven (Bronx),3.0,3.0,22,4.0,6.0,6.0,6.0,4.0,2.0,30.0,1.0,3.0,5.0,2.0,10455 Hunts Point - Mott Haven (Bronx),16.0,70.0,30.0,0.0,0.0,11.940298507462687,75.0,100.0,100.0,75.0,20.0,33.333333333333336,83.33333333333333,92.85714285714286
R_11XveO4jhyQ7psw,11220 Sunset Park (Brooklyn),500,100,200,200,23,0,9,0,1,1,1,1,0,1,1,1,2,3,5,2.0,-2.0,16,2.0,-2.0,0.0,1,-1,0,-1,1,1,1,-1,-1,-1,-2,-1,1,1,,,1.0,1.0,50.0,56.25,83.33333333333333,11220.0,11220,11220,11220,11220.0,11220 Sunset Park (Brooklyn),57.0,57.0,39,3.0,6.0,1.0,4.0,2.0,3.0,24.0,1.0,2.0,4.0,4.0,11220 Sunset Park (Brooklyn),7.0,50.0,10.0,20.0,20.0,2.985074626865672,50.0,0.0,60.0,25.0,40.0,16.666666666666668,66.66666666666667,28.571428571428573
R_122VBh160LfMSmw,10473 Pelham - Throgs Neck (Bronx),250,300,300,150,72,4,10,0,0,0,1,1,0,1,0,1,1,3,4,1.0,2.0,14,1.1428571428571428,2.2857142857142856,3.4285714285714284,-1,1,-2,-2,-1,-2,1,1,1,1,1,1,2,2,,,,,55.35714285714286,62.5,66.66666666666667,10473.0,10473,10473,10473,10473.0,10473 Pelham - Throgs Neck (Bronx),66.0,66.0,14,2.0,6.0,4.0,2.0,2.0,5.0,73.0,-1.0,3.0,1.0,2.0,,8.0,25.0,30.0,30.0,15.0,76.11940298507463,25.0,60.0,20.0,25.0,80.0,33.333333333333336,16.666666666666668,35.714285714285715
R_123Avj65hNXhEEU,11220 Sunset Park (Brooklyn),300,200,450,50,23,1,10,1,0,1,1,1,1,0,1,0,3,1,4,4.0,-2.0,16,4.0,-2.0,2.0,1,0,1,0,0,0,2,0,2,0,2,0,-2,0,-2.0,-2.0,,,53.125,62.5,66.66666666666667,11220.0,11220,11220,11220,11220.0,11220 Sunset Park (Brooklyn),57.0,57.0,39,2.0,6.0,6.0,6.0,5.0,5.0,24.0,1.0,5.0,5.0,0.0,11220 Sunset Park (Brooklyn),17.0,30.0,20.0,45.0,5.0,2.985074626865672,25.0,100.0,100.0,100.0,80.0,66.66666666666667,83.33333333333333,100.0
R_123k9PhJeovcH9V,10025 Upper West Side (Manhattan),650,50,200,100,54,0,7,0,0,0,1,0,1,0,0,1,2,1,3,6.0,5.0,16,6.0,5.0,11.0,1,1,0,-2,1,1,-1,-1,1,1,1,2,1,1,,,2.0,2.0,67.1875,43.75,50.0,10025.0,10025,10025,10025,10025.0,10025 Upper West Side (Manhattan),134.0,134.0,76,2.0,6.0,4.0,2.0,3.0,3.0,55.0,1.0,5.0,6.0,3.0,10025 Upper West Side (Manhattan),9.0,65.0,5.0,20.0,10.0,49.25373134328358,25.0,60.0,20.0,50.0,40.0,66.66666666666667,100.0,42.857142857142854
R_128TzfXaKjD8Vgj,11221 Williamsburg - Bushwick (Brooklyn),700,150,150,0,21,4,12,0,1,0,0,0,0,1,1,1,1,2,3,4.0,-5.0,14,4.571428571428571,-5.714285714285714,-1.1428571428571432,1,1,1,-2,1,-2,-2,-2,1,1,1,1,1,-2,,,,,48.214285714285715,75.0,50.0,11221.0,11221,11221,11221,11221.0,11221 Williamsburg - Bushwick (Brooklyn),3.0,3.0,60,2.0,6.0,1.0,3.0,2.0,1.0,22.0,-1.0,2.0,4.0,4.0,11206 Williamsburg - Bushwick (Brooklyn),6.0,70.0,15.0,15.0,0.0,0.0,25.0,0.0,40.0,25.0,0.0,16.666666666666668,66.66666666666667,21.428571428571427
R_12DbkYX6KtQ8HQj,10002 Union Square - Lower East Side (Manhattan),200,200,100,500,36,0,11,0,0,1,1,0,1,0,1,0,3,0,3,12.0,10.0,16,12.0,10.0,22.0,1,1,1,2,1,2,2,1,2,1,1,1,2,1,,,2.0,1.0,84.375,68.75,50.0,10002.0,10002,10002,10002,10002.0,10002 Union Square - Lower East Side (Manhattan),121.0,121.0,96,1.0,6.0,1.0,1.0,1.0,1.0,37.0,1.0,5.0,6.0,3.0,10002 Union Square - Lower East Side (Manhattan),3.0,20.0,20.0,10.0,50.0,22.388059701492537,0.0,0.0,0.0,0.0,0.0,66.66666666666667,100.0,0.0
R_12KCIbmrlTj2PdA,10044 Upper East Side (Manhattan),500,100,400,0,26,0,5,0,0,0,1,1,1,1,1,1,3,3,6,4.0,1.0,16,4.0,1.0,5.0,1,1,-1,-1,0,1,1,1,2,2,0,0,2,-2,,,-1.0,-1.0,57.8125,31.25,100.0,10044.0,10044,10044,10044,10044.0,10044 Upper East Side (Manhattan),1.0,1.0,80,4.0,3.0,6.0,6.0,3.0,5.0,27.0,1.0,2.0,6.0,5.0,10021 Upper East Side (Manhattan),15.0,50.0,10.0,40.0,0.0,7.462686567164179,75.0,100.0,100.0,50.0,80.0,16.666666666666668,100.0,85.71428571428571
R_12KXJqWaZx5uF9n,10473 Pelham - Throgs Neck (Bronx),300,200,400,100,21,0,13,0,0,0,1,1,1,1,1,1,3,3,6,6.0,6.0,16,6.0,6.0,12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,-1.0,-1.0,68.75,81.25,100.0,10473.0,10473,10473,10473,10473.0,10473 Pelham - Throgs Neck (Bronx),66.0,66.0,14,4.0,6.0,6.0,6.0,2.0,3.0,22.0,1.0,2.0,1.0,4.0,,14.0,30.0,20.0,40.0,10.0,0.0,75.0,100.0,100.0,25.0,40.0,16.666666666666668,16.666666666666668,78.57142857142857
