ResponseId,zipcode_long,expectation in 1 year,home internet,financial situation 2020,financial situation now,financial situation change,credit debt situation,age,gender,gender_des,education,employment,race,race_des,destination,zipcode,expectation_num,internet_num,financial_2020_num,financial_now_num,financial_change_num,credit_debt_num,age_num,gender_num,education_num,employment_num,race_num
R_8qRLvQaSc9Fw04p,11234 Canarsie - Flatlands (Brooklyn),Things will be much better,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,There were no major impacts on my financial situation,My debts increase beyond what I earn in a given month,1980.0,Woman,,College or university (Bachelor or equivalent),Click to write Choice 7,Black or African-American,,11234 Canarsie - Flatlands (Brooklyn),11234,5,6.0,4.0,4,3,1,44.0,1,4,0,2.0
R_PwIK79RIwPpXm7v,11234 Canarsie - Flatlands (Brooklyn),Things will be somewhat worse,I usually had access but there were some extended outages,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,My financial situation became somewhat worse,I generally pay off the interest but not the balance,1988.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),White,,11234 Canarsie - Flatlands (Brooklyn),11234,2,4.0,3.0,2,2,3,36.0,-1,4,6,3.0
R_3h53BIIujDFd1u0,10011 Chelsea - Clinton (Manhattan),Things will be much better,I usually had access but there were some extended outages,I paid off my bills but was not able to save,I have to take on some debt to pay my bills,My financial situation became much worse,My debts increase beyond what I earn in a given month,1974.0,Man,,Graduate (Masters or equivalent),Click to write Choice 7,White,,10003 Union Square - Lower East Side (Manhattan),10011,5,4.0,4.0,2,1,1,50.0,-1,5,0,3.0
R_3qq9p7LXUmfHEOr,11234 Canarsie - Flatlands (Brooklyn),Things will be about the same,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills and save a small amount,My financial situation became somewhat better,I make the minimum payment and the interest is charged,1984.0,Man,,College or university (Bachelor or equivalent),Full-time student,White,,11234 Canarsie - Flatlands (Brooklyn),11234,3,6.0,4.0,5,4,2,40.0,-1,4,4,3.0
R_3MJTfnaBf3oBrjz,11234 Canarsie - Flatlands (Brooklyn),Things will be about the same,I always had access through my provider,I had to take on some debt to pay my bills,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I pay off any balances every month,1966.0,Woman,,Secondary school (high school),Not in paid employment (looking for work),White,,,11234,3,6.0,3.0,4,2,6,58.0,1,2,1,3.0
R_27CJXihxMb01yMg,11234 Canarsie - Flatlands (Brooklyn),Things will be much worse,I always had access through my provider,I had to take on some debt to pay my bills,I am unable to pay all of my bills,My financial situation became much worse,My debts increase beyond what I earn in a given month,1964.0,Woman,,Graduate (Masters or equivalent),Employed part-time (less than 25 hours per week),Hispanic,,11234 Canarsie - Flatlands (Brooklyn),11234,1,6.0,3.0,1,1,1,60.0,1,5,5,4.0
R_rdSbMdAhltkwIuJ,11234 Canarsie - Flatlands (Brooklyn),Things will be much better,I always had access through my provider,I had to take on some debt to pay my bills,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I pay off much of the balance,1994.0,Woman,,Vocational school,Full-time student,"Asian,Black or African-American",,11209 Bensonhurst - Bay Ridge (Brooklyn),11234,5,6.0,3.0,4,2,4,30.0,1,3,4,5.0
R_1mODdiN44OODwVN,11234 Canarsie - Flatlands (Brooklyn),Things will be about the same,I usually had access but there were some extended outages,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,There were no major impacts on my financial situation,My debts increase beyond what I earn in a given month,1999.0,Woman,,College or university (Bachelor or equivalent),Employed part-time (less than 25 hours per week),Black or African-American,,11236 Canarsie - Flatlands (Brooklyn),11234,3,4.0,3.0,2,3,1,25.0,1,4,5,2.0
R_3MSyfKG0UDU11Fp,11234 Canarsie - Flatlands (Brooklyn),Things will be about the same,I always had access through my provider,I paid off my bills and saved a small amount,I have to take on some debt to pay my bills,There were no major impacts on my financial situation,I make the minimum payment and the interest is charged,1982.0,Man,,College or university (Bachelor or equivalent),Employed full-time (25+ hours per week),"Arab/Middle Eastern,White",,Click to write Choice 3,11234,3,6.0,5.0,2,3,2,42.0,-1,4,6,3.0
R_3MKKmtK8VzxOCT6,10025 Upper West Side (Manhattan),Things will be about the same,I always had access through my provider,I paid off my bills but was not able to save,I can pay off my bills but am not able to save,My financial situation became somewhat worse,I pay off any balances every month,1972.0,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10016 Gramercy Park - Murray Hill (Manhattan),10025,3,6.0,4.0,4,2,6,52.0,-1,5,6,3.0
R_3Hq456EJdol0ai6,10002 Union Square - Lower East Side (Manhattan),Things will be much better,I usually had access but there were some extended outages,I had to take on some debt to pay my bills,I have to take on some debt to pay my bills,My financial situation became somewhat better,I make the minimum payment and the interest is charged,1990.0,Man,,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),White,,10002 Union Square - Lower East Side (Manhattan),10002,5,4.0,3.0,2,4,2,34.0,-1,5,6,3.0
