ResponseId,MODZCTA,modzcta_count,mask_march2020,mask_spring2020,mask_summer2020,mask_fall2020,mask_winter2020,indoor_march2020,indoor_spring2020,indoor_summer2020,indoor_fall2020,indoor_winter2020,mask_march2020_num,mask_spring2020_num,mask_summer2020_num,mask_fall2020_num,mask_winter2020_num,mask_march2020_num_avg,mask_spring2020_num_avg,mask_summer2020_num_avg,mask_fall2020_num_avg,mask_winter2020_num_avg,mask_averages,mask_color,indoor_march2020_num,indoor_spring2020_num,indoor_summer2020_num,indoor_fall2020_num,indoor_winter2020_num,indoor_averages,indoor_color
R_0OPLZoCVgslBvR7,10301,1.0,I never left home in this period,Only in places that forced it,Only in places that forced it,Only in places that forced it,Only in places that forced it,"Rarely, when it could not be avoided",Once or twice a month,Once or twice a month,Weekly,"Rarely, when it could not be avoided",[0],[5],[5],[5],[5],0.0,5.0,5.0,5.0,5.0,"[0.0, 5.0, 5.0, 5.0, 5.0]",blue,1,2,2,3,1,"[1, 2, 2, 3, 1]",orange
R_0qSdw7DniJSW4qR,10018,2.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,"When most people were masking,Indoors,When places were crowded",I always wore it when I left home,Never,Never,Never,Once or twice a month,Once or twice a month,[1],[1],[1],"[4, 3, 2]",[1],1.0,1.0,1.0,3.0,1.0,"[1.0, 1.0, 1.0, 3.0, 1.0]",orange,0,0,0,2,2,"[0, 0, 0, 2, 2]",blue
R_0SZFpfpC6O5HFjb,11217,4.0,When places were crowded,When places were crowded,When places were crowded,When places were crowded,When places were crowded,Weekly,Weekly,Weekly,Weekly,Weekly,[2],[2],[2],[2],[2],2.0,2.0,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0]",green,3,3,3,3,3,"[3, 3, 3, 3, 3]",green
R_0uZgT1R6o8dxHFv,10009,13.0,I always wore it when I left home,I always wore it when I left home,I never left home in this period,I never wore a mask when I left home,Only in places that forced it,Once or twice a month,"Rarely, when it could not be avoided",Once or twice a month,Weekly,Multiple times each week,[1],[1],[0],[6],[5],1.0,1.0,0.0,6.0,5.0,"[1.0, 1.0, 0.0, 6.0, 5.0]",blue,2,1,2,3,4,"[2, 1, 2, 3, 4]",blue
R_0wvGeSIZj1tFudX,11220,57.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Never,Never,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,0,0,1,1,1,"[0, 0, 1, 1, 1]",blue
R_10C1pfKQPbC7CSZ,11217,4.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,The same as before the pandemic,The same as before the pandemic,The same as before the pandemic,The same as before the pandemic,The same as before the pandemic,[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,5,5,5,5,5,"[5, 5, 5, 5, 5]",green
R_10CK8olh0NSRAPc,11101,33.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Once or twice a month,Once or twice a month,Once or twice a month,Once or twice a month,Once or twice a month,[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,2,2,2,2,2,"[2, 2, 2, 2, 2]",green
R_10CMmoOiHRRSGdl,10304,33.0,When most people were masking,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Once or twice a month,Once or twice a month,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",[4],[1],[1],[1],[1],4.0,1.0,1.0,1.0,1.0,"[4.0, 1.0, 1.0, 1.0, 1.0]",red,2,2,1,1,1,"[2, 2, 1, 1, 1]",red
R_10DAV8YmqYSbWok,10011,6.0,Indoors,Indoors,When places were crowded,When places were crowded,When places were crowded,Multiple times each week,Weekly,Multiple times each week,Weekly,Multiple times each week,[3],[3],[2],[2],[2],3.0,3.0,2.0,2.0,2.0,"[3.0, 3.0, 2.0, 2.0, 2.0]",red,4,3,4,3,4,"[4, 3, 4, 3, 4]",orange
R_10MeX6PILPYPOwv,11206,75.0,I always wore it when I left home,I always wore it when I left home,When places were crowded,When places were crowded,I always wore it when I left home,Once or twice a month,Multiple times each week,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",The same as before the pandemic,[1],[1],[2],[2],[1],1.0,1.0,2.0,2.0,1.0,"[1.0, 1.0, 2.0, 2.0, 1.0]",orange,2,4,1,1,5,"[2, 4, 1, 1, 5]",blue
R_10NKvN7M6Ye54oY,11375,40.0,I always wore it when I left home,When places were crowded,When most people were masking,When places were crowded,I never wore a mask when I left home,"Rarely, when it could not be avoided",Weekly,Multiple times each week,Multiple times each week,Weekly,[1],[2],[4],[2],[6],1.0,2.0,4.0,2.0,6.0,"[1.0, 2.0, 4.0, 2.0, 6.0]",blue,1,3,4,4,3,"[1, 3, 4, 4, 3]",blue
R_10OFfnBrarXpZnx,10005,19.0,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,Indoors,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",[0],[0],[0],[0],[3],0.0,0.0,0.0,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 3.0]",blue,1,1,1,1,1,"[1, 1, 1, 1, 1]",green
R_10OfJGPWVSRcSp2,10453,73.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Never,Never,Never,Never,Never,[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,0,0,0,0,0,"[0, 0, 0, 0, 0]",green
R_10q17Typ0W66cgz,10025,134.0,I always wore it when I left home,I always wore it when I left home,When places were crowded,When places were crowded,When places were crowded,Never,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",[1],[1],[2],[2],[2],1.0,1.0,2.0,2.0,2.0,"[1.0, 1.0, 2.0, 2.0, 2.0]",blue,0,1,1,1,1,"[0, 1, 1, 1, 1]",blue
R_10YMlQrMEfbpmSC,10002,121.0,I never left home in this period,I never left home in this period,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,The same as before the pandemic,Multiple times each week,Weekly,Weekly,Weekly,[0],[0],[1],[1],[1],0.0,0.0,1.0,1.0,1.0,"[0.0, 0.0, 1.0, 1.0, 1.0]",blue,5,4,3,3,3,"[5, 4, 3, 3, 3]",red
R_10ZvVWIA59tLKsu,10025,134.0,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,Never,Never,Never,Never,Never,[0],[0],[0],[0],[0],0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",green,0,0,0,0,0,"[0, 0, 0, 0, 0]",green
R_110dNr5YUosmacM,11212,2.0,I never left home in this period,When places were crowded,I never wore a mask when I left home,Indoors,"When most people were masking,When places were crowded",Once or twice a month,Once or twice a month,Never,Weekly,"Rarely, when it could not be avoided",[0],[2],[6],[3],"[4, 2]",0.0,2.0,6.0,3.0,3.0,"[0.0, 2.0, 6.0, 3.0, 3.0]",blue,2,2,0,3,1,"[2, 2, 0, 3, 1]",red
R_111TnE6yXifnE2W,10453,73.0,When most people were masking,I never wore a mask when I left home,I always wore it when I left home,When places were crowded,"Indoors,When places were crowded",Weekly,Once or twice a month,Never,Weekly,Weekly,[4],[6],[1],[2],"[3, 2]",4.0,6.0,1.0,2.0,2.5,"[4.0, 6.0, 1.0, 2.0, 2.5]",red,3,2,0,3,3,"[3, 2, 0, 3, 3]",orange
R_115iwos8GGSqhoy,10025,134.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,The same as before the pandemic,Multiple times each week,Multiple times each week,The same as before the pandemic,The same as before the pandemic,[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,5,4,4,5,5,"[5, 4, 4, 5, 5]",orange
R_116jsJUqL1nNS5l,10455,3.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Once or twice a month,Weekly,Once or twice a month,Weekly,Weekly,[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,2,3,2,3,3,"[2, 3, 2, 3, 3]",blue
R_11XveO4jhyQ7psw,11220,57.0,I always wore it when I left home,I always wore it when I left home,When places were crowded,Indoors,I always wore it when I left home,Never,Never,Never,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",[1],[1],[2],[3],[1],1.0,1.0,2.0,3.0,1.0,"[1.0, 1.0, 2.0, 3.0, 1.0]",orange,0,0,0,1,1,"[0, 0, 0, 1, 1]",blue
R_122VBh160LfMSmw,10473,66.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,"Rarely, when it could not be avoided",Never,Never,Never,Never,[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,1,0,0,0,0,"[1, 0, 0, 0, 0]",red
R_123Avj65hNXhEEU,11220,57.0,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,I always wore it when I left home,The same as before the pandemic,Multiple times each week,Once or twice a month,Weekly,The same as before the pandemic,[0],[0],[0],[0],[1],0.0,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 0.0, 1.0]",blue,5,4,2,3,5,"[5, 4, 2, 3, 5]",orange
R_123k9PhJeovcH9V,10025,134.0,I never wore a mask when I left home,When most people were masking,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Never,Never,"Rarely, when it could not be avoided",Once or twice a month,Never,[6],[4],[1],[1],[1],6.0,4.0,1.0,1.0,1.0,"[6.0, 4.0, 1.0, 1.0, 1.0]",red,0,0,1,2,0,"[0, 0, 1, 2, 0]",orange
R_128TzfXaKjD8Vgj,11221,3.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,1,1,1,1,1,"[1, 1, 1, 1, 1]",green
R_12DbkYX6KtQ8HQj,10002,121.0,When places were crowded,When places were crowded,I always wore it when I left home,When places were crowded,When places were crowded,Weekly,Multiple times each week,Weekly,Multiple times each week,Weekly,[2],[2],[1],[2],[2],2.0,2.0,1.0,2.0,2.0,"[2.0, 2.0, 1.0, 2.0, 2.0]",orange,3,4,3,4,3,"[3, 4, 3, 4, 3]",orange
R_12KCIbmrlTj2PdA,10044,1.0,I always wore it when I left home,When places were crowded,When most people were masking,Indoors,Only in places that forced it,The same as before the pandemic,The same as before the pandemic,The same as before the pandemic,The same as before the pandemic,The same as before the pandemic,[1],[2],[4],[3],[5],1.0,2.0,4.0,3.0,5.0,"[1.0, 2.0, 4.0, 3.0, 5.0]",blue,5,5,5,5,5,"[5, 5, 5, 5, 5]",green
R_12KXJqWaZx5uF9n,10473,66.0,I always wore it when I left home,When most people were masking,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",[1],[4],[1],[1],[1],1.0,4.0,1.0,1.0,1.0,"[1.0, 4.0, 1.0, 1.0, 1.0]",orange,1,1,1,1,1,"[1, 1, 1, 1, 1]",green
R_12QO0TFVEUOUOu9,11220,57.0,When most people were masking,I always wore it when I left home,When places were crowded,I always wore it when I left home,When places were crowded,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",The same as before the pandemic,"Rarely, when it could not be avoided",[4],[1],[2],[1],[2],4.0,1.0,2.0,1.0,2.0,"[4.0, 1.0, 2.0, 1.0, 2.0]",red,1,1,1,5,1,"[1, 1, 1, 5, 1]",orange
R_1BPgLKjUa4i90Rd,11206,75.0,Indoors,I always wore it when I left home,I always wore it when I left home,When most people were masking,When places were crowded,Never,Never,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",Never,[3],[1],[1],[4],[2],3.0,1.0,1.0,4.0,2.0,"[3.0, 1.0, 1.0, 4.0, 2.0]",red,0,0,1,1,0,"[0, 0, 1, 1, 0]",orange
R_1BPtM7USZIKlSYF,10005,19.0,"Only in places that forced it,When places were crowded",When most people were masking,I never wore a mask when I left home,I never wore a mask when I left home,Only in places that forced it,Multiple times each week,Weekly,Multiple times each week,The same as before the pandemic,Weekly,"[5, 2]",[4],[6],[6],[5],3.5,4.0,6.0,6.0,5.0,"[3.5, 4.0, 6.0, 6.0, 5.0]",blue,4,3,4,5,3,"[4, 3, 4, 5, 3]",red
R_1BPYAQuWZKHXzQD,10029,108.0,I never left home in this period,I never left home in this period,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Weekly,"Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided","Rarely, when it could not be avoided",[0],[0],[1],[1],[1],0.0,0.0,1.0,1.0,1.0,"[0.0, 0.0, 1.0, 1.0, 1.0]",blue,3,1,1,1,1,"[3, 1, 1, 1, 1]",red
R_1BXkm6dBi2Ngfgm,10029,108.0,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,Never,Never,Never,Never,Weekly,[0],[0],[0],[0],[0],0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",green,0,0,0,0,3,"[0, 0, 0, 0, 3]",blue
R_1BYtZhjRw1Xd2Ht,10019,6.0,I never wore a mask when I left home,I never wore a mask when I left home,I never wore a mask when I left home,Only in places that forced it,"When most people were masking,Indoors,When places were crowded",Multiple times each week,Weekly,Once or twice a month,Once or twice a month,"Rarely, when it could not be avoided",[6],[6],[6],[5],"[4, 3, 2]",6.0,6.0,6.0,5.0,3.0,"[6.0, 6.0, 6.0, 5.0, 3.0]",red,4,3,2,2,1,"[4, 3, 2, 2, 1]",red
R_1C3omrxbhxLdKRe,10002,121.0,"When most people were masking,When places were crowded","When most people were masking,When places were crowded","When most people were masking,When places were crowded","Only in places that forced it,Indoors","When most people were masking,Indoors",Multiple times each week,Multiple times each week,The same as before the pandemic,The same as before the pandemic,The same as before the pandemic,"[4, 2]","[4, 2]","[4, 2]","[5, 3]","[4, 3]",3.0,3.0,3.0,4.0,3.5,"[3.0, 3.0, 3.0, 4.0, 3.5]",blue,4,4,5,5,5,"[4, 4, 5, 5, 5]",blue
R_1C9e5lY5wIB72xG,10005,19.0,"When most people were masking,When places were crowded",I never left home in this period,When places were crowded,I always wore it when I left home,I always wore it when I left home,"Rarely, when it could not be avoided",Once or twice a month,The same as before the pandemic,Multiple times each week,"Rarely, when it could not be avoided","[4, 2]",[0],[2],[1],[1],3.0,0.0,2.0,1.0,1.0,"[3.0, 0.0, 2.0, 1.0, 1.0]",red,1,2,5,4,1,"[1, 2, 5, 4, 1]",orange
R_1CD5oJIEmrTpTYk,10003,14.0,"When most people were masking,Indoors",Only in places that forced it,"When most people were masking,Indoors,When places were crowded","Only in places that forced it,When most people were masking,Indoors","Only in places that forced it,When places were crowded",Weekly,Multiple times each week,Weekly,Weekly,Multiple times each week,"[4, 3]",[5],"[4, 3, 2]","[5, 4, 3]","[5, 2]",3.5,5.0,3.0,4.0,3.5,"[3.5, 5.0, 3.0, 4.0, 3.5]",orange,3,4,3,3,4,"[3, 4, 3, 3, 4]",blue
R_1Cd68lDfEhOQQI9,11101,33.0,I never left home in this period,I never wore a mask when I left home,I never wore a mask when I left home,When most people were masking,I always wore it when I left home,Multiple times each week,Weekly,Once or twice a month,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",[0],[6],[6],[4],[1],0.0,6.0,6.0,4.0,1.0,"[0.0, 6.0, 6.0, 4.0, 1.0]",blue,4,3,2,1,1,"[4, 3, 2, 1, 1]",red
R_1Cd9YU1Rbz4rMA4,11433,38.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Never,Never,The same as before the pandemic,Multiple times each week,The same as before the pandemic,[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,0,0,5,4,5,"[0, 0, 5, 4, 5]",blue
R_1CdpUkNDE2g6PIY,10002,121.0,Only in places that forced it,When most people were masking,Only in places that forced it,When most people were masking,Only in places that forced it,Once or twice a month,Weekly,Once or twice a month,Weekly,Once or twice a month,[5],[4],[5],[4],[5],5.0,4.0,5.0,4.0,5.0,"[5.0, 4.0, 5.0, 4.0, 5.0]",orange,2,3,2,3,2,"[2, 3, 2, 3, 2]",orange
R_1CEzZwRf50eQTmE,11206,75.0,Indoors,Only in places that forced it,When most people were masking,When most people were masking,"When most people were masking,Indoors",Multiple times each week,Once or twice a month,Once or twice a month,Once or twice a month,Never,[3],[5],[4],[4],"[4, 3]",3.0,5.0,4.0,4.0,3.5,"[3.0, 5.0, 4.0, 4.0, 3.5]",blue,4,2,2,2,0,"[4, 2, 2, 2, 0]",red
R_1CfKar8vbSpmxBz,11375,40.0,Only in places that forced it,Only in places that forced it,When most people were masking,When most people were masking,When most people were masking,Once or twice a month,"Rarely, when it could not be avoided",Once or twice a month,Once or twice a month,Weekly,[5],[5],[4],[4],[4],5.0,5.0,4.0,4.0,4.0,"[5.0, 5.0, 4.0, 4.0, 4.0]",red,2,1,2,2,3,"[2, 1, 2, 2, 3]",blue
R_1CKH5f68F3tgS7i,10304,33.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,Once or twice a month,Multiple times each week,"Rarely, when it could not be avoided",Once or twice a month,Weekly,[1],[1],[1],[1],[1],1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",green,2,4,1,2,3,"[2, 4, 1, 2, 3]",blue
R_1CqB0sQgy5Ti7lR,10304,33.0,I never left home in this period,I never wore a mask when I left home,Only in places that forced it,When most people were masking,Indoors,The same as before the pandemic,Multiple times each week,Weekly,Never,"Rarely, when it could not be avoided",[0],[6],[5],[4],[3],0.0,6.0,5.0,4.0,3.0,"[0.0, 6.0, 5.0, 4.0, 3.0]",blue,5,4,3,0,1,"[5, 4, 3, 0, 1]",red
R_1cS41pRd6grUz0u,10473,66.0,I always wore it when I left home,I always wore it when I left home,Only in places that forced it,Only in places that forced it,Only in places that forced it,The same as before the pandemic,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",The same as before the pandemic,Never,[1],[1],[5],[5],[5],1.0,1.0,5.0,5.0,5.0,"[1.0, 1.0, 5.0, 5.0, 5.0]",blue,5,1,1,5,0,"[5, 1, 1, 5, 0]",red
R_1cVbpfX4YklHFTb,10011,6.0,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,Never,Never,Never,Never,Never,[0],[0],[0],[0],[0],0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",green,0,0,0,0,0,"[0, 0, 0, 0, 0]",green
R_1CvfcVRjnqbfxuL,10029,108.0,I always wore it when I left home,I never left home in this period,I always wore it when I left home,I always wore it when I left home,I never left home in this period,Never,Never,Never,"Rarely, when it could not be avoided",Never,[1],[0],[1],[1],[0],1.0,0.0,1.0,1.0,0.0,"[1.0, 0.0, 1.0, 1.0, 0.0]",red,0,0,0,1,0,"[0, 0, 0, 1, 0]",orange
R_1CwQI9YjRM4zFAF,10002,121.0,Only in places that forced it,When most people were masking,Indoors,When places were crowded,I always wore it when I left home,Once or twice a month,Once or twice a month,"Rarely, when it could not be avoided",Never,Never,[5],[4],[3],[2],[1],5.0,4.0,3.0,2.0,1.0,"[5.0, 4.0, 3.0, 2.0, 1.0]",red,2,2,1,0,0,"[2, 2, 1, 0, 0]",red
R_1CxBDASJcMx0fWB,10029,108.0,I always wore it when I left home,I always wore it when I left home,"Indoors,When places were crowded",Only in places that forced it,I always wore it when I left home,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",Once or twice a month,Weekly,The same as before the pandemic,[1],[1],"[3, 2]",[5],[1],1.0,1.0,2.5,5.0,1.0,"[1.0, 1.0, 2.5, 5.0, 1.0]",orange,1,1,2,3,5,"[1, 1, 2, 3, 5]",blue
R_1Cyx0VawqRlyAR4,10002,121.0,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,I never left home in this period,Never,Never,Never,Never,Never,[0],[0],[0],[0],[0],0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",green,0,0,0,0,0,"[0, 0, 0, 0, 0]",green
R_1d4x8Dyify3EQX8,11228,2.0,I always wore it when I left home,I always wore it when I left home,Indoors,When places were crowded,Indoors,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",Never,"Rarely, when it could not be avoided",Never,[1],[1],[3],[2],[3],1.0,1.0,3.0,2.0,3.0,"[1.0, 1.0, 3.0, 2.0, 3.0]",blue,1,1,0,1,0,"[1, 1, 0, 1, 0]",red
R_1DAUiTWRzy7PCy7,10467,5.0,When most people were masking,When most people were masking,When most people were masking,When most people were masking,When most people were masking,The same as before the pandemic,The same as before the pandemic,The same as before the pandemic,The same as before the pandemic,The same as before the pandemic,[4],[4],[4],[4],[4],4.0,4.0,4.0,4.0,4.0,"[4.0, 4.0, 4.0, 4.0, 4.0]",green,5,5,5,5,5,"[5, 5, 5, 5, 5]",green
R_1dbLkeHpgWF1zAY,11226,92.0,Only in places that forced it,When places were crowded,When places were crowded,When most people were masking,When most people were masking,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",Multiple times each week,Weekly,"Rarely, when it could not be avoided",[5],[2],[2],[4],[4],5.0,2.0,2.0,4.0,4.0,"[5.0, 2.0, 2.0, 4.0, 4.0]",red,1,1,4,3,1,"[1, 1, 4, 3, 1]",orange
R_1DCMdeGo0127i06,11218,2.0,I never left home in this period,I never wore a mask when I left home,When most people were masking,When most people were masking,Only in places that forced it,Never,"Rarely, when it could not be avoided","Rarely, when it could not be avoided",Once or twice a month,"Rarely, when it could not be avoided",[0],[6],[4],[4],[5],0.0,6.0,4.0,4.0,5.0,"[0.0, 6.0, 4.0, 4.0, 5.0]",blue,0,1,1,2,1,"[0, 1, 1, 2, 1]",blue
R_1ddb3dr1AjbHpzj,11220,57.0,I always wore it when I left home,I always wore it when I left home,I always wore it when I left home,When places were crowded,When places were crowded,Never,Never,Never,Never,Never,[1],[1],[1],[2],[2],1.0,1.0,1.0,2.0,2.0,"[1.0, 1.0, 1.0, 2.0, 2.0]",blue,0,0,0,0,0,"[0, 0, 0, 0, 0]",green
