,Unnamed: 0,ResponseId,zipcode,loss_gain_1,loss_loss_1,loss_gain_2,loss_loss_2,loss_gain_3,loss_loss_3,alloc_debt,alloc_spend,alloc_save,alloc_invest,Age,Risk_preference,amount_later17,question,delay_sooner,delay_later,amount_sooner,amount_later,question_num,block,choice,choice_text,score,presbias,absolmag,gainloss
124,125,R_10CMmoOiHRRSGdl,10304 Stapleton - St. George (Staten Island),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",700,300,0,0,22,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,12,0,0,0
134,135,R_10MeX6PILPYPOwv,11206 Williamsburg - Bushwick (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",1000,0,0,0,74,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,13,0,0,0
143,144,R_10NKvN7M6Ye54oY,11375 Ridgewood - Forest Hills (Queens),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",100,200,700,0,26,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,14,0,0,0
153,154,R_10OFfnBrarXpZnx,10005 Lower Manhattan (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",0,300,500,200,22,4,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,1,0,1
163,164,R_10OfJGPWVSRcSp2,10453 Crotona -Tremont (Bronx),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",0,0,1000,0,71,0,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,4,0,0,1
172,173,R_10q17Typ0W66cgz,10025 Upper West Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",200,800,0,0,53,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,12,1,1,1
181,182,R_110dNr5YUosmacM,11212 Bedford Stuyvesant - Crown Heights (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",100,900,0,0,24,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,7,0,0,0
190,191,R_111TnE6yXifnE2W,10453 Crotona -Tremont (Bronx),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",100,300,400,200,45,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,12,0,0,0
199,200,R_11XveO4jhyQ7psw,11220 Sunset Park (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",500,100,200,200,23,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,9,0,1,1
208,209,R_123Avj65hNXhEEU,11220 Sunset Park (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",300,200,450,50,23,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,1,0,1
218,219,R_123k9PhJeovcH9V,10025 Upper West Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",650,50,200,100,54,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,7,0,0,0
227,228,R_128TzfXaKjD8Vgj,11221 Williamsburg - Bushwick (Brooklyn),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",700,150,150,0,21,4,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,12,0,1,0
236,237,R_12DbkYX6KtQ8HQj,10002 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",200,200,100,500,36,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
246,247,R_12KCIbmrlTj2PdA,10044 Upper East Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",500,100,400,0,26,0,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,5,0,0,0
255,256,R_12KXJqWaZx5uF9n,10473 Pelham - Throgs Neck (Bronx),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",300,200,400,100,21,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,13,0,0,0
264,265,R_12QO0TFVEUOUOu9,11220 Sunset Park (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",400,200,200,200,45,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
274,275,R_1BPgLKjUa4i90Rd,11206 Williamsburg - Bushwick (Brooklyn),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",200,300,300,200,37,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,13,0,0,0
283,284,R_1BPtM7USZIKlSYF,10005 Lower Manhattan (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",400,120,180,300,35,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
293,294,R_1BPYAQuWZKHXzQD,10029 East Harlem (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",700,0,300,0,31,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
303,304,R_1BXkm6dBi2Ngfgm,10029 East Harlem (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",1000,0,0,0,28,4,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,1,1,0
311,312,R_1C3omrxbhxLdKRe,10002 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",200,200,300,300,46,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
321,322,R_1CD5oJIEmrTpTYk,10003 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",380,150,250,220,34,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,14,0,1,1
331,332,R_1Cd68lDfEhOQQI9,11101 Long Island City - Astoria (Queens),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",400,250,200,150,35,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,5,0,0,0
341,342,R_1Cd9YU1Rbz4rMA4,11433 Jamaica (Queens),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",0,500,500,0,53,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
351,352,R_1CdpUkNDE2g6PIY,10002 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",400,100,100,400,21,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,0
359,360,R_1CEzZwRf50eQTmE,11206 Williamsburg - Bushwick (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",300,200,300,200,53,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,5,0,0,0
369,370,R_1cS41pRd6grUz0u,10473 Pelham - Throgs Neck (Bronx),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",0,0,1000,0,70,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,9,0,0,0
379,380,R_1cVbpfX4YklHFTb,10011 Chelsea - Clinton (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",250,250,250,250,45,4,510,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,5,0,0,0
389,390,R_1CvfcVRjnqbfxuL,10029 East Harlem (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",700,100,100,100,53,4,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,8,0,0,0
396,397,R_1CwQI9YjRM4zFAF,10002 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",600,100,250,50,25,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,13,0,0,0
405,406,R_1CxBDASJcMx0fWB,10029 East Harlem (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",300,100,600,0,45,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,1,1,1
413,414,R_1Cyx0VawqRlyAR4,10002 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",300,200,150,350,36,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
423,424,R_1dbLkeHpgWF1zAY,11226 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",200,400,300,100,25,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,13,0,1,1
432,433,R_1DCMdeGo0127i06,11218 Borough Park (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",250,250,250,250,24,4,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,1,1
442,443,R_1dGjlDSJv2i8j7U,10025 Upper West Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",500,0,500,0,30,0,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,8,0,1,0
451,452,R_1dGOWcS0BkRBILA,11101 Long Island City - Astoria (Queens),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",500,100,300,100,35,0,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,3,0,0,0
460,461,R_1dgVjB6qprc7Sy6,10002 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",300,200,150,350,35,1,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,12,0,1,1
468,469,R_1dH0COwvLHWHB3J,11234 Canarsie - Flatlands (Brooklyn),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",600,400,0,0,41,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,12,0,0,0
477,478,R_1dmCxdgd10xAX7z,10463 Kingsbridge - Riverdale (Bronx),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",200,500,0,300,28,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
487,488,R_1dmdyllWi4xP1h9,10001 Chelsea - Clinton (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",200,200,200,400,29,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,1,1,0
497,498,R_1dN5rFsGgaSYNnd,10001 Chelsea - Clinton (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",100,200,200,500,45,0,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,7,0,0,0
505,506,R_1DNm2CPcNgThneS,11206 Williamsburg - Bushwick (Brooklyn),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",300,400,0,300,23,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,1,1,0
515,516,R_1DouVpgZJ9NLHps,11209 Bensonhurst - Bay Ridge (Brooklyn),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",500,200,200,100,49,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
525,526,R_1DqC3dT0WG3FDjA,10025 Upper West Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",750,100,150,0,30,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,1,1
535,536,R_1DS7lGBEaPw4LSc,10453 Crotona -Tremont (Bronx),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",500,100,250,150,43,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,15,0,1,0
545,546,R_1DUaSDiT948kH9A,10453 Crotona -Tremont (Bronx),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",1000,0,0,0,21,0,700,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,6,0,0,0
553,554,R_1dufweLFMGHzUka,10453 Crotona -Tremont (Bronx),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",200,100,500,200,33,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,6,0,1,1
563,564,R_1duwIJbLb2HZUzS,10002 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",300,200,200,300,40,0,510,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,8,0,0,0
572,573,R_1DY0i4m6u3ZQBPi,10303 Port Richmond (Staten Island),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",200,300,200,300,41,0,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,6,1,0,1
580,581,R_1DYiSPJHC4FyBOb,11428 Southeast Queens (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 45% chance of losing $9,000",200,400,200,200,27,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
590,591,R_1dyPcnmVzi3tCU1,10452 High Bridge - Morrisania (Bronx),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",200,100,400,300,21,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,0
600,601,R_1dyPgfMKwb0WUI0,11375 Ridgewood - Forest Hills (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",700,160,100,40,23,1,520,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,6,0,0,0
608,609,R_1DzJASQOXieylEd,11375 Ridgewood - Forest Hills (Queens),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",0,0,1000,0,30,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
616,617,R_1E5LV9WhaD3M6rw,10006 Lower Manhattan (Manhattan),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",100,200,600,100,35,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,0,0
626,627,R_1EbzhzZCnRVJsz5,10001 Chelsea - Clinton (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",100,500,200,200,21,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,7,0,0,0
635,636,R_1EcJIFcSyW0s8Of,10012 Greenwich Village - SoHo (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 90% chance of losing $4,500",147,430,200,223,42,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,15,0,1,0
645,646,R_1eEqKmtvMjz5S1a,11226 East Flatbush - Flatbush (Brooklyn),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",200,300,250,250,41,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,7,0,0,0
654,655,R_1Eg0J2rMTfvr1HZ,10002 Union Square - Lower East Side (Manhattan),"A 100% chance of receiving $4,500","A 100% chance of losing $4,500","A 25% chance of receiving $4,500","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",300,300,300,100,33,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,16,0,0,0
664,665,R_1eIxsaNUPJdGvai,10473 Pelham - Throgs Neck (Bronx),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 25% chance of receiving $4,500","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",800,0,200,0,26,0,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,13,0,0,0
673,674,R_1eQ6c64U2rMWUqe,10021 Upper East Side (Manhattan),"A 100% chance of receiving $4,500","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 25% chance of losing $4,500","A 90% chance of receiving $4,500","A 90% chance of losing $4,500",6,1,352,641,27,2,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,10,0,0,0
681,682,R_1eS1dAVNeO8b3En,11207 East New York (Brooklyn),"An 80% chance of receiving $6,000","A 100% chance of losing $4,500","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",250,350,300,100,36,4,600,Q1,0,12,500,550,1,block1,1,Receiving $550 in 12 months,8,1,1,1
688,689,R_1eVQ9CJGd784GSD,10002 Union Square - Lower East Side (Manhattan),"An 80% chance of receiving $6,000","An 80% chance of losing $6,000","A 20% chance of receiving $6,000","A 20% chance of losing $6,000","A 45% chance of receiving $9,000","A 45% chance of losing $9,000",100,400,100,400,36,3,1000,Q1,0,12,500,550,1,block1,0,Receiving $500 right now,11,0,0,1
